Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SIGNORIA,SM,73.85,4.98,35.14,0.02,0.01
ASLIND,ST,36.5,4.89,38.02,0.04,0.01
ROLLT,EQ,1.62,4.52,40.52,0.9,0.01
RAJRILTD,BE,24.12,1.99,1341.27,0.06,0.01
TAKE,BZ,9.77,4.94,144.53,0.14,0.01
ANSALAPI,BZ,4.4,0.46,69.26,0.31,0.01
DANGEE,BE,4.57,1.78,49.26,0.29,0.01
TAPIFRUIT,SM,88.95,2.3,38.01,0.01,0.01
PASHUPATI,SM,655,0.73,1033.85,0,0.01
VERTEXPLUS,ST,108.3,4.99,59.34,0.01,0.01
92SFIL28,ND,1000,1.94,13.96,0,0.01
MPTODAY,SM,33.25,4.89,15.19,0.04,0.01
IVZINNIFTY,EQ,2822.1,0.23,93.6,0,0.01
1119NFL27,ND,1025,1.89,51.04,0,0.01
SANWARIA,BZ,0.37,2.78,27.24,3.24,0.01
943ECL28,NJ,976.99,0.62,57.77,0,0.01
735NHAI31,N9,1122,1.26,6712.45,0,0.01
AMBANIORGO,SM,109,4.86,83.48,0.01,0.01
HINDNATGLS,BE,18.21,3.29,163.08,0.06,0.01
ONYX,SM,52.65,2.03,95.47,0.02,0.01
1040NFL26,NA,1005,0.54,95.61,0,0.01
865LTF26,NN,1042.4,0.03,415.07,0,0.01
985ECL28,NK,1039.9,0.09,282.99,0,0.01
SGBJUN27,GB,9350,1.08,429.9,0,0.01
BBNPPGOLD,EQ,92,0.27,90.89,0.01,0.01
BOSS,SM,51.2,4.28,22.76,0.02,0.01
SGBOCT26,GB,9250,1.35,289.12,0,0.01
VASA,SM,4.15,1.22,2.49,0.24,0.01
PANSARI,BE,217.41,2,379.31,0,0.01
TCHF30,NB,1067,0.19,83.27,0,0.01
MFML,BE,32.9,3.07,34.94,0.03,0.01
GTECJAINX,EQ,27.44,4.97,27.96,0.03,0.01
PREMIER,BE,3.17,4.97,9.63,0.29,0.01
QUADPRO,SM,3.7,1.37,18.7,0.24,0.01
FSC,BZ,2.05,0.49,9,0.4,0.01
SGBOCT25IV,GB,9300,0.45,352.46,0,0.01
IL&FSTRANS,BZ,3.45,0.88,113.49,0.24,0.01
GOENKA,BZ,0.92,1.1,29.16,0.88,0.01
MARSHALL,BZ,11.34,1.98,27.1,0.07,0.01
AGUL,SM,40.1,4.97,21.99,0.02,0.01
BBNPNBETF,EQ,55.5,0.56,4.09,0.01,0.01
91MOFSL27,N2,1000.3,0.03,448.66,0,0.01
SGBFEB27,GB,9599,4.91,199.07,0,0.01
EXCELLENT,SM,47.8,0.1,21.37,0.02,0.01
SUULD,BZ,3.52,4.76,23.7,0.2,0.01
ANKITMETAL,BZ,2.47,4.66,34.85,0.29,0.01
EDUCOMP,BZ,1.98,3.66,24.25,0.33,0.01
JAKHARIA,ST,80,3.23,32.51,0.01,0.01
GLOBALE,BE,16.5,0.92,17.52,0.04,0.01
PLADAINFO,SM,20.5,3.02,17.58,0.03,0.01
INDIFRA,ST,15.25,0.66,11.12,0.04,0.01
CYBERMEDIA,BE,14.61,0.55,22.89,0.04,0.01
MADHAVBAUG,ST,138.4,4.41,145.51,0,0.01
NEXTMEDIA,BE,7,0.43,46.83,0.08,0.01
SGBMAR28X,GB,9195,0.38,696.37,0,0.01
UMESLTD,BE,5.78,0.35,15.27,0.09,0.01
SCL25924D,N1,1020,2.72,5.91,0,0.01
DIGJAMLMTD,BE,41.24,4.14,82.48,0.01,0.01
OMKARCHEM,BZ,6.03,1.34,12.41,0.08,0
NIF10GETF,EQ,26.05,0.12,23.43,0.02,0
SGBMAY26,GB,9349.95,0.81,608.06,0,0
M&MFIN,N3,2186,19.58,0,0,0
ABMINTLLTD,EQ,51.2,0.99,48.17,0.01,0
UNIONGOLD,EQ,93,0.22,142.84,0,0
690GS2065,GS,102.45,1.68,32784,0,0
RITEZONE,ST,25,2.04,10.58,0.02,0
91D140825,TB,98.4,0.41,9840,0,0
GSEC10ABSL,EQ,109.74,0.03,90.83,0,0
ONELIFECAP,BE,11.3,3.76,15.1,0.03,0
SETUINFRA,BZ,0.66,4.76,8.29,0.53,0
105IIFL29,N7,1125,19.36,17.38,0,0
IMPEXFERRO,BZ,2.14,3.88,18.82,0.15,0
883GS2041,GS,126.21,4.31,113589,0,0
ITTL,ST,57.4,1.95,57.4,0.01,0
SWANDEF,BE,154.74,4.99,815.2,0,0
91D110725,TB,99.13,0.06,10904.3,0,0
NKIND,EQ,67.45,4.98,40.54,0,0
1025UCL26A,N1,1000,0.91,69.08,0,0
NAGREEKCAP,EQ,28.7,3.54,36.21,0.01,0
MASKINVEST,BE,175.8,3.34,53.65,0,0
SGBDEC25,GB,9350,0.54,100.4,0,0
SGBNOV26,GB,9300,0.54,380.77,0,0
FEL,BZ,0.6,1.69,27.3,0.47,0
WINSOME,BZ,1.82,1.68,12.87,0.15,0
PRUDMOULI,EQ,41.4,0.73,133.52,0.01,0
732GS2030,GS,105,0.44,73500,0,0
915SCL27A,ZL,1029,6.56,6.75,0,0
91D300525,TB,99.58,0.08,20015.58,0,0
736GS2052,GS,107.4,0.99,161100,0,0
MEP,BZ,1.77,1.72,32.47,0.1,0
EUROTEXIND,EQ,14.47,7.82,12.66,0.01,0
97MOFSL34,N7,1090,2.83,247.4,0,0
817GS2044,GS,119,0.85,102340,0,0
93MOFSL34,N6,1044.79,0.08,49.16,0,0
SABEVENTS,BE,5.37,4.88,5.63,0.03,0
1035UCL26,NA,680,0.12,17.58,0,0
1075UCL25,N9,1023.85,0.14,68.04,0,0
772GS2049,GS,112.5,0.67,90000,0,0
IIFLZC25,ND,1750,2.82,10.12,0,0
702GS2031,GS,106.55,0.52,68192,0,0
960ISFL25,N1,1025,0.47,119.76,0,0
SCLZC26,NB,2035.6,1.78,49.55,0,0
91D120625,TB,99.52,0.2,15624.64,0,0
885IHL26,N1,990.2,0.92,271.81,0,0
182D070825,TB,98.49,0.08,8568.63,0,0
364D080126,TB,95.84,0.25,7667.2,0,0
SGBFEB28IX,GB,9384,2,380.95,0,0
956AEL29,N6,1059.99,0.47,53.38,0,0
SCL25B,BI,1144.29,2.33,5.62,0,0
950SCL23A,AP,1070,0.7,7.04,0,0
IMC1,N3,256,0.39,62.46,0,0
LAKPRE,BZ,5.05,4.99,5.53,0.01,0
IMC1,N1,256,0.39,62.46,0,0
876HUDCO28,ND,1157.9,0.69,0,0,0
CMICABLES,BZ,3.25,1.88,5.21,0.01,0
990SCL27,YT,977.8,0.08,15.31,0,0
SANCO,BZ,2.47,4.22,3.23,0.02,0
MTEDUCARE,BE,2.28,3.17,16.47,0.01,0
975SCL28,NT,994.6,0.41,10.63,0,0
HINDALCO,T0,659,0.22,148091.57,0,0
716GS2050,GS,109,4.81,95920,0,0
824GS2027,GS,107,2.88,103135.75,0,0
719GS2060,GS,104.85,4.38,67104,0,0
563GS2026,GS,100.3,0.6,160984.65,0,0
717GS2028,GS,102.97,0.02,96791.8,0,0
