Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
AROGRANITE,EQ,37.5,-1.11,57.38,0.32,0.12
TECH,EQ,39.62,-1.22,29.58,0.3,0.12
EMKAY,BE,214.43,-2,543.95,0.06,0.12
KEYFINSERV,BE,367.4,-2,257.85,0.03,0.12
AARVI,EQ,112.02,-0.41,165.91,0.1,0.11
SGL,EQ,15,-2.41,40.49,0.73,0.11
SCML,SM,91,-4.76,104.74,0.12,0.11
HDFCBSE500,EQ,36.54,-0.16,16.77,0.3,0.11
ELDEHSG,EQ,817.15,-1.49,803.5,0.01,0.11
DICIND,EQ,655,-0.72,601.22,0.02,0.11
AAKASH,EQ,8.41,-0.71,85.15,1.26,0.11
TEJASCARGO,SM,165.75,-1.92,396.02,0.06,0.11
KSHITIJPOL,EQ,3.38,-1.17,30.08,3.11,0.11
DUGLOBAL,SM,52.55,-0.47,366.68,0.2,0.11
TOKYOPLAST,EQ,134,-0.03,127.32,0.08,0.1
GANGAFORGE,EQ,5.06,-0.78,68.21,2.03,0.1
RVTH,BE,889.6,-0.24,272.84,0.01,0.1
SBIETFCON,EQ,118.7,-0.13,21.23,0.09,0.1
MOTOGENFIN,EQ,28.59,-4.12,110.72,0.36,0.1
875IIFL26A,NQ,1000,-0.52,57.21,0.01,0.1
QMSMEDI,SM,90,-2.12,160.65,0.11,0.1
985IIFL22,NC,997,-0.6,25.85,0.01,0.1
SUPERHOUSE,EQ,170.28,-1.43,187.73,0.06,0.1
SRGHFL,EQ,315,-0.36,493.79,0.03,0.1
ITETFADD,EQ,38.6,-1.33,37.13,0.25,0.1
HDFCNIF100,EQ,26.04,-0.19,62.34,0.37,0.1
SINTERCOM,EQ,127.1,-3.69,349.88,0.08,0.1
NETF,EQ,267.82,-0.13,715.57,0.03,0.09
SENSEXETF,EQ,83.43,-0.04,20.4,0.11,0.09
DIVINEHIRA,ST,44,-2,57.41,0.21,0.09
DUCOL,SM,124.5,-2.54,202.37,0.07,0.09
SELMC,BE,41.37,-5.01,137.08,0.21,0.09
PCCL,SM,182,-1.81,449.54,0.05,0.09
